id,text,category,satisfaction,environment,social
682131976183234561,#excited I get to do one thing I love most about my job #nonprofit today #Helpsomebody,Autonomy,Satisfied,Supportive,Work
679422969161097217,"..Arabic coffee, date's cookies, a tradition winter robe and a letter from mom telling me to stay warm. Can this day get any better. #relief",Autonomy,Satisfied,Not Clear,Other
648487907687276544,This idiot is backing up....dear God don't let this jerk hit my car because I will absolutely lose my mind at this moment! #annoyed,Autonomy,Dissatisfied,Non-Supportive,Other
683112346810740737,Lacing up my skates for the first time in almost 2 years tomorrow #Excited,Autonomy,Satisfied,Not Clear,Social Relation
687722287462653952,I'm the only tech today... Other tech is sick. I'm way over loaded #stressed,Autonomy,Dissatisfied,Non-Supportive,Work
683309819592327168,"finally bought Carly Rae Jepsen album. really, really, really, really, really, really like it #emotion",Autonomy,Satisfied,Supportive,Leisure
683628409583452160,"Everybody's all over there like ""don't want to go back to work tomorrow"" and I'm sat here building websites #excited #entrepreneur 👸🏼",Autonomy,Satisfied,Non-Supportive,Work
677673194279542786,Finally downloaded #minecraft for #WiiU and wait for it to install then it had to update. The digital age ain't all that #annoyed,Autonomy,Dissatisfied,Not Clear,Leisure
647509435053670400,"I have been trying to fix the cable ""&"" internet all freaking day 😡!!! #annoyed #weekend #friday",Autonomy,Dissatisfied,Not Clear,Other
648927868714676224,#UConnhealth how many hoops shall I jump through to make my daughter a well baby appointment? #irritated,Autonomy,Dissatisfied,Non-Supportive,Health
683994444761317376,on my way to see my lil prince or princess! #anxious. #Excited. 👶😍,Autonomy,Satisfied,Not Clear,Family
699180791901753344,ALL MY DREAMS ARE COMING TRUE SO QUICKLY- I FEEL LIKE I'M IN HYPER SPEED / LAND CRUISER Zzzzzz (sound) #Happy 👑 I'm on cloud 9 ⚡️🌥💫🌥✨🌥🌟,Autonomy,Satisfied,Not Clear,life evaluation
728226981473492993,Nervous for Tuesday but excited cause I don't have to go to work #sad #needavacation,Autonomy,Dissatisfied,Not Clear,Work
681927509244510213,Laptop crashed. Couldn't have happened at a worse time. #Frustrated #firstworldproblems,Autonomy,Dissatisfied,Not Clear,Other
682479358640967680,And 2016 i hope I love you just as much. Already looking 👌🏽. ✈️🏡👫🙏🏼⛪️🏝🙊 #Excited,Autonomy,Satisfied,Not Clear,Leisure
679763493978005504,"1 week tomorrow and I'll be jetting off to Paris to celebrate my 21st ""&"" new year with my fave 💁🏼👫👑☃ #excited",Autonomy,Satisfied,Supportive,Leisure
683511405346066432,Not looking forward to my next counselling session when I have to admit I voluntarily had a bet at Royal Gilgandra. #guilty,Autonomy,Dissatisfied,Not Clear,Health
683629292106969088,Going to see #TheDanishGirl #movie tomorrow #excited,Autonomy,Satisfied,Not Clear,Leisure
683441617257238530,Going to church tomorrow #excited,Autonomy,Satisfied,Not Clear,Religion
680147875653799936,At the cottage this Christmas Eve kids in bed gin on the go turkey in the oven and Santas on his way #excited !! — feeling festive,Autonomy,Satisfied,Supportive,Family
683560799487442944,"4 months till I'm back in CANADA, where has the time gone ☺️ #excited",Autonomy,Satisfied,Not Clear,life evaluation
648379399750991872,What to do today on my day off 😞 not what I'd hoped 😔 #disappointed,Autonomy,Dissatisfied,Not Clear,Leisure
684424933879975936,Now I'm over my cold I can spend the next few days making videos and photos for my site!!! :) x #excited,Autonomy,Satisfied,Not Clear,Leisure
682737607382556672,New Year's Eve and it feels like I'm under house arrest as I'm pretty much not allowed to do anything. #depressing,Autonomy,Dissatisfied,Non-Supportive,Other
678914483629244418,Two more night shifts left then can enjoy my time off can't wait to see the kids faces when they see what Santa got them😃#excited,Autonomy,Satisfied,Supportive,Family
678549326403133440,115 days until New York City #excited,Autonomy,Satisfied,Not Clear,Leisure
684158757530648576,"Tomorrow I get to see my girlfriend, it's been two months since we last met. Then we go to #Oslo. #2016 is epic. #Excited. Yes! Le' go ! 😁🙌",Autonomy,Satisfied,Supportive,Social Relation
677845617104801792,8:15 eye appointment. How is the doctor 25 minutes behind this early in the morning. #frustration,Autonomy,Dissatisfied,Non-Supportive,Health
680106509032943616,Off work #Excited 🙌 headed to da house to get my bake 🍪🍪🍪🍪 on #ChocolateChip Cookies #ChoclateCake,Autonomy,Satisfied,Not Clear,Leisure
684037098102480898,Saw Keane live once. Almist dies from boredom waiting on the good songs. And then they didn't play Crystal Ball #outrage,Autonomy,Dissatisfied,Non-Supportive,Leisure
678581201506971648,staying in all weekend was the best decision I've ever made! I'm well rested for this busy week ahead! ??,Autonomy,Satisfied,Not Clear,Leisure
649954768236843008,Warching charmed! I swear this is my favorate show! 😃😀👍 #charmed,Autonomy,Satisfied,Not Clear,Leisure
681507428018601985,"notch Well, I just passed that time. I was so #desperate that I used Mobile Data and increased my bill #bigbill andrewTheAnt_",Autonomy,Dissatisfied,Non-Supportive,Leisure
649572209061707776,I have to go to the hospital for a full blood works tonight. Evenings are not best spent with needles stuck in your arm 😩 #scared,Autonomy,Dissatisfied,Not Clear,Health
682800690150785025,first day of work feels like first day of school.. #excited,Autonomy,Satisfied,Not Clear,Work
684108751914180609,"Also annoying, the circuit trainer in the squat rack when there are only 2 squat racks in the whole gym. #complaining",Autonomy,Dissatisfied,Non-Supportive,Health
648632593773105152,Could this biology trip be any worse 😂😩😂😩 #scared,Autonomy,Dissatisfied,Non-Supportive,Education
685356748958515200,WTF? Why do people make games like this? My #anxiety can't handle this shit! I don't like this one bit. #AlienIsolation #WhatWasThatNoise,Autonomy,Dissatisfied,Non-Supportive,Leisure
725169355986722816,"Why didn't I have the energy to wake up when it rained this morning? Huhuhu that rain was loud, heavy, and delicious. #Sad",Autonomy,Dissatisfied,Not Clear,Other
650410848410669056,Can I just be at home today? 😢 #homesick,Autonomy,Dissatisfied,Not Clear,Other
684618548958773249,Love to listen to fm while working. #relaxing,Autonomy,Satisfied,Supportive,Work
724655107506343937,🎉 #Happy to work Live Transmission of First phase schedule with Legend of politics # Dr.Karunanithi 😎Champaign.🎉,Autonomy,Satisfied,Supportive,government /political
677113845530406912,Back gone completely.. Fml sick of this shit and so wish I could afford private .. #agony #laidup,Autonomy,Dissatisfied,Not Clear,Health
688570179089895425,Not having to go to work today was pretty great! #JustNeededABreak #Stressed 😓,Autonomy,Satisfied,Not Clear,Work
683760633406291968,"being able to fit ""&"" buy kids shoes took things to another level #excited",Autonomy,Satisfied,Not Clear,Leisure
652160771258888192,Putting stop to crankiness...I'm definitely going to bed at a good hour tonight #determined,Autonomy,Satisfied,Not Clear,Other
683903750340083712,Countdown to my bday and Bahamas cruise!! 27 days!! 01-30-83 #Aquarius #wearethebest Mexican cruise in 12 days!! #excited,Autonomy,Satisfied,Supportive,Leisure
647032778559766529,For the next 5 weekends.... you can find me at a haunted halloween attraction! #ilovehauntedhouses #halloweeenismyfavorite #scared,Autonomy,Satisfied,Not Clear,Leisure
678493169089159168,The fact that Christmas is this week and I'm scheduling events and appointments for June 2016 is insane #timeflies #excited,Autonomy,Satisfied,Supportive,life evaluation
688351011392585728,This move is taking way too long. Hopefully it'll be over today. #stressed #blessedup tho,Autonomy,Dissatisfied,Not Clear,Other
724424567507300352,I will relive this weekend forever and always. I've never been so happy in all aspects of my life. 😊 #happy,Autonomy,Satisfied,Not Clear,life evaluation
681856003143528448,At the doctors office and was looking forward to some Highlights magazines but there was no wait. #Disappointed,Autonomy,Dissatisfied,Not Clear,Health
682388218168393728,Just finished paying bills #depressing,Autonomy,Dissatisfied,Not Clear,Other
680005041155997696,"I hate how #depression #anxiety makes me into a lazy, unmotivated, useless person. I feel like a sissy that's afraid of nothing.",Autonomy,Dissatisfied,Not Clear,life evaluation
681484378237612032,Why do i have to download a separate app to cast a video from the web browser to the TV come-on #Chromecast #Google #disappointed,Autonomy,Dissatisfied,Non-Supportive,Leisure
680139776792641536,Just two more sleeps to the DFS sale #excited,Autonomy,Satisfied,Not Clear,Leisure
684569976930484225,"Excited for Friday! The studio is booked all day, the photographer, model and hair stylist at the ready for my lingerie shoot! #nervous",Autonomy,Satisfied,Not Clear,Leisure
683355697157947392,Birmingham tonight 🍺 #excited 👌🍾🎉,Autonomy,Satisfied,Not Clear,Leisure
684277037624913920,I must say - I did not miss getting up for cardio this morning 💁🏻 #rest,Autonomy,Satisfied,Not Clear,Health
683357241051713536,So I'm saving money to go to a different country in the summer time ! 😊 #excited,Autonomy,Satisfied,Not Clear,Leisure
681765551996301312,2 Days 14 Hours 44 Minutes 7 Seconds #countdown #olfasense #excited,Autonomy,Satisfied,Not Clear,Leisure
649933921359151104,A friend offered me a hash brown earlier and it looked so tasty and I was starving but I still turned it down #motivated #determined,Autonomy,Satisfied,Not Clear,Health
684042259633848320,It's midnight here in Singapore and I'm boarding the plane in a couple of minutes! Houston here I come! #excited,Autonomy,Satisfied,Not Clear,Leisure
680019940326379520,Ever just wake up and know it's gonna be a brilliant day? That's how I feel right now with this latte in my hands. #excited,Autonomy,Satisfied,Not Clear,Other
682703459112632320,I feel like I haven't cooked in a really loooonnnnngggg time. #excited! My hubby gonna wake up to an awesome meal!!,Autonomy,Satisfied,Not Clear,Leisure
678838313231507457,sometimes i want to get online so bad but everytime i do i get this overwhelming sense of self disgust and i dont know why idk what to do,Autonomy,Dissatisfied,Not Clear,life evaluation
683437000989519872,"It sucks to leave, but I feel like it was a better thing for me to leave for these next few years #Hopeful",Autonomy,Satisfied,Non-Supportive,life evaluation
677353280700157952,#Dilwale tickets are next to impossible to get 😡 #frustrated,Autonomy,Dissatisfied,Non-Supportive,Leisure
649805584561238016,I'm out for the night. Incredibly disappointing night as right and wrong goes. No idea why? #disappointed,Autonomy,Dissatisfied,Not Clear,Leisure
683784436496781313,First day of school today!! #excited #schoolrulez,Autonomy,Satisfied,Not Clear,Education
649661598597021696,"Actually writing scripts for these videos I've been planning, maybe I'll even film/post 'em today, who knows? #Determined #Progress",Autonomy,Satisfied,Not Clear,Leisure
651449309322346496,"Eating A Starbucks Bagel After, What Seems Like, Ages Of Not Having One. #satisfied",Autonomy,Satisfied,Not Clear,Other
684367333695983619,Bought roller blades in hopes they'll give me the motivation to exercise. #hopeful,Autonomy,Satisfied,Not Clear,Health
724830528449421312,"This Saturday and Sunday are going to filled with endless work, papers, and studying! 🙃😭🙏🏽 #anxiety",Autonomy,Dissatisfied,Non-Supportive,Education
690165463817412608,"Can it please be 4pm so I can leave work to go play with puppies and kitties for 3 hours? Thanks, father time! #stressed #butanimalshelp",Autonomy,Dissatisfied,Non-Supportive,Work
683719479784792069,Too many restaurants to choose from in Cardiff for our #RBS6nations lunch! 😋 #CountingDownTheDays #Excited 😃,Autonomy,Satisfied,Supportive,Leisure
684234133850222593,Missing a great college basketball game right now! #frustrated #nocable #KUvOU,Autonomy,Dissatisfied,Not Clear,Leisure
683261106287210496,soooo i just finished the last episode of one tree hill... cried my eyes out and now i don't know what to do with my life. #depressed,Autonomy,Dissatisfied,Non-Supportive,life evaluation
650668568049225730,Am i really watching a Christmas film 😅😅 #festive #Christmas #countdown,Autonomy,Satisfied,Not Clear,Leisure
683482726159265792,It either needs to be summer or there needs to be ice so I can fish #depressed,Autonomy,Dissatisfied,Not Clear,Leisure
684037497114996736,"Home from work, pjs and face mask are on, watching Coraline #blissful",Autonomy,Satisfied,Not Clear,Leisure
652719522273607680,I've made it home after an outstanding 270-mile road trip to one fantastic regular-season football finale. #mshsl #sleep #grateful,Autonomy,Satisfied,Not Clear,Leisure
684367218046418944,"good morning everyone, I was up since 5 after 4 this morning, couldn't sleep. I hate that! #RestlessNight #frustrating",Autonomy,Dissatisfied,Not Clear,Other
677738632183046144,"Kitty cuddles + Parks ""&"" Rec by the light of the Christmas tree. Full day, feeling accomplished. #proud",Autonomy,Satisfied,Not Clear,Other
680236999450599425,Got my 2nd tattoo picked out finally!!! It's gonna be great!!! #superexcited #pumped,Autonomy,Satisfied,Not Clear,Leisure
684608098166652928,Today has been awesome. #relaxing #moreshowsthanIhaveeverwatchedinoneday,Autonomy,Satisfied,Not Clear,Leisure
683904847314317312,"First Monday of 2016, first day in the new job #letsgo #excited",Autonomy,Satisfied,Not Clear,Work
678218426431721472,Finally get to see Star Wars today!!!! #excited #StarWarsTheForceAwakens,Autonomy,Satisfied,Supportive,Leisure
681519542435094528,I Hate f**** gng to clg....😣 #frustrated,Autonomy,Dissatisfied,Non-Supportive,Other
683754734629552129,Creating a budget and travel schedule for 2016 #excited,Autonomy,Satisfied,Not Clear,Leisure
684679880156516352,"Travelling to LA today, to go to the main office learn all about the new products and go to the #ANMEShow #excited #freeupgrade",Autonomy,Satisfied,Not Clear,Work
678609358066950145,#calgary bound tomorrow for #Christmas - can't wait! #excited!,Autonomy,Satisfied,Not Clear,Leisure
684758504100335616,When you run into your girl right before work. #winning,Autonomy,Satisfied,Not Clear,Family
684404334919086085,Onto something more positive--I get to have a sleepover with my kiddos today! ☺️☺️ #Excited,Autonomy,Satisfied,Not Clear,Family
679234807616823296,I wanna spend NYE at Disney and I just might do that!! #bucketlist #excited 🎆🎇🏰,Autonomy,Satisfied,Not Clear,Leisure
683749614214885380,Looking forward to hosting a night out in LDN at one of the top clubs #excited,Autonomy,Satisfied,Not Clear,Leisure
677257054134902784,Opposite work schedules are the fucking worse 😭 #lonely #insecure,Autonomy,Dissatisfied,Not Clear,Work
682079203894796288,Leaving for Montreal bright and early #excited,Autonomy,Satisfied,Not Clear,Leisure
684459069428600832,"Trying to be a proper Berliner so I've booked to stay in a hostel in Berlin ""&"" it honestly looks amazing for what I paid! #excited ❤️🙃",Autonomy,Satisfied,Not Clear,Leisure
684186039829803009,Wtf campus den why do you have to be so dam difficult #irritated,Autonomy,Dissatisfied,Not Clear,Education
724738277157298180,So I went to a dog park today and I saw every species of dog to ever have existed so I'm going to go everyday of my life #happy 🐶,Autonomy,Satisfied,Not Clear,Leisure
683365853417619458,Can't wait to get home and set my new laptop up :D #excited,Autonomy,Satisfied,Not Clear,Leisure
678175324522356736,Me and Tia are going Christmas shopping... But first stop. Subway #excited,Autonomy,Satisfied,Supportive,Leisure
646653498117984256,I shoulda took today off! #annoyed,Autonomy,Dissatisfied,Not Clear,Work
646675477080461312,"Just gonna tweet my way through work today... 9 more days until schedule ""&"" maybe I'll be fucking normal again! #exhausted #anxious",Autonomy,Dissatisfied,Non-Supportive,Work
722452482622955520,"Normal people : Holidays over, now back to work. Celebs : Holidays over, now back to gym, sleep and yoga classes #cry #sad #MissingMyLife.",Autonomy,Dissatisfied,Not Clear,life evaluation
689530758751506432,I need a mental break for like a year... #Stressed #Tired #Adulting,Autonomy,Dissatisfied,Not Clear,life evaluation
648529540092985344,"Done, time to sit in traffic #grumpy",Autonomy,Dissatisfied,Non-Supportive,Other
684852273017532417,Super excited today. Because I get my puppppyyyyyyyy!!!!!!! #Auddy #Happy #PuppyLove,Autonomy,Satisfied,Not Clear,Leisure
651500303934599168,Class cancelled only means an earlier gym sesh. I'm #down,Autonomy,Satisfied,Not Clear,Health
652263594663411712,"Carls Jr Mile High Bacon thick-burger= Delicious, well earned reward #satisfied",Autonomy,Satisfied,Not Clear,Health
681900306310000640,Not having a good week #depressed #pain #sleep,Autonomy,Dissatisfied,Not Clear,Other
650875027013935104,"my first ever camping trip, in pouring down rain was a success. My #ozarktrail tent held up like a champ. No leaking at all! #impressed 👍🏻👏🏻",Autonomy,Satisfied,Supportive,Leisure
649414407366115328,I hate when every single store you go to doesn't have the items you came there to buy #irritated,Autonomy,Dissatisfied,Not Clear,Leisure
648004524519596032,And instead I'm in a car going God knows where getting drunk #annoyed,Autonomy,Dissatisfied,Not Clear,Leisure
648680040528539648,Shanas driving is almost the death of me #neverAgain #pray4me #scared,Autonomy,Dissatisfied,Non-Supportive,Social Relation
684207870397800448,"I proposed 3 days ago but with driving 18hrs between then and now, it didn't sink in until today that I'M MARRYING LADY GREY!!!! #ecstatic",Autonomy,Satisfied,Supportive,Family
683322577440354304,This year is going to be all about connecting with old friends ☺️ #oldfriends #excited #yay,Autonomy,Satisfied,Not Clear,Social Relation
677455897346621440,I struggle to sleep every night. Then I wake up at 5:30am everyday and struggle to go back to sleep. This is overwhelming. #Annoyed,Autonomy,Dissatisfied,Not Clear,Health
649679860638588928,"Time to re-focus, overcome a couple of hurdles and make some plans. #determined #vlm2016",Autonomy,Satisfied,Not Clear,Other
649683542910353412,"almost 24 hours in. about to lose my cool. hot bubbly bath ""&"" early night i think. #grumpy #stoptober",Autonomy,Dissatisfied,Non-Supportive,Social Relation
683834671340326913,This has been a really good weekend #relaxing,Autonomy,Satisfied,Not Clear,Leisure
677653604866633728,About to give blood tomorrow #nervous,Autonomy,Neutral,Not Clear,Health
684457964753793028,I have butterflies like it's my first day ever 😂 #LastSemester #Excited,Autonomy,Satisfied,Not Clear,Education
649059861582495744,"I'm getting so #irritated, just the thought of you makes my brain break out in hives and itch like crazy 😒😒😒😒",Autonomy,Dissatisfied,Non-Supportive,Social Relation
678001737806974976,At least on twitter i can post my likes about a celeb and no one talks shit......facebook i feel more restricted........#frustrated,Autonomy,Dissatisfied,Non-Supportive,Leisure
652603611747328005,Loved #SingerMV tonight great show. #proud,Autonomy,Satisfied,Supportive,Social Relation
724078647959785472,I don't want to work tomorrow #sad 😢,Autonomy,Dissatisfied,Not Clear,Work
679227337037250560,Ready to go vrroommm vrroomm vrroommm today!!! Yaayyy!! #excited ♥driving worlds worst car -_- :3,Autonomy,Satisfied,Not Clear,Leisure
677828198621650944,"Happy Friday! Mommy is off today and daddy will be off for Christmas break soon, too. Star Wars tickets for tomorrow! #excited",Autonomy,Satisfied,Not Clear,life evaluation
650471582767276032,I miss watching the early morning news and talk shows....👵📰. #GUILTY,Autonomy,Dissatisfied,Not Clear,Leisure
651107034755133440,Wish I were cool enough to be accepted into one of the many group vaping sessions all over campus #hopeful #2cool,Autonomy,Dissatisfied,Non-Supportive,Social Relation
648183135629352962,What a glorious afternoon to watch Polar Express #festive,Autonomy,Satisfied,Not Clear,Leisure
684584004792659968,"Big glass of milk ""&"" banana bread before bed. 🍞😋😋😋 #satisfied",Autonomy,Satisfied,Not Clear,Leisure
646419312593502208,I've had enough of today and most days tbh!.. When am I ever gonna get time to relax! #annoyed #nervousbreakdown! xx,Autonomy,Dissatisfied,Non-Supportive,Other
682097084934262784,I'm getting way too excited for a haircut 💇🏻 #desperate,Autonomy,Satisfied,Not Clear,Health
648954805331865600,Really enjoying being back at work. #surprised #workingmum,Autonomy,Satisfied,Supportive,Work
683260721396891648,Edinburgh to Glasgow return on the bus - £5. Train - £25. It's a no brainer! 🚍 👫 #nightaway #excited,Autonomy,Satisfied,Not Clear,Leisure
679117286255550464,Only plans for Jan. 25 is to binge watch From Dusk Till Dawn season 2 on Netflix. #excited,Autonomy,Satisfied,Not Clear,Leisure
678578387133296640,Off to the Wars #Excited #LightSabres,Autonomy,Satisfied,Supportive,Leisure
681792736178077696,Booking out holiday this week! :D #excited #tenerife #2016,Autonomy,Satisfied,Not Clear,Leisure
648614905449349120,"Woke up with no voice ""&""the last thing I want to do is go back to work tonight. The 1st thing I want to do is go home to Illinois. #homesick",Autonomy,Dissatisfied,Not Clear,Work
678573980790480896,The New Shiny arrives *Tuesday*! Eeeeeeeeeeeeeee! #excited #shinythings,Autonomy,Satisfied,Not Clear,Leisure
678188691676905476,"Just had a refreshing glass of blue milk ""&"" now we are all off to Woking to see the Force Awakens #excited",Autonomy,Satisfied,Supportive,Leisure
683444916660342785,"New Season, New Timeframe, New Mindset, #noexcuses #excited #NewYear2016",Autonomy,Satisfied,Not Clear,life evaluation
677797872964882432,Great way to end the week. Boss just told me I'm going to Germany in March! #excited,Autonomy,Satisfied,Supportive,Work
678330904926797824,I just spent 5 minutes searching my backpack for food and didn't find any. #disappointed #hangry,Autonomy,Dissatisfied,Not Clear,Other
651838820778967040,"Cleansing my body trying to eat right, exercise right, sleep right and be productive. Gonna be hard but I'm #determined",Autonomy,Satisfied,Not Clear,life evaluation
682065156499623936,A guest Rotaractor from Brazil is gonna be with us for a couple of days.. #excited to host him,Autonomy,Satisfied,Not Clear,Social Relation
678736055491821570,another day of watching football for hours + doing nothing ending on a migraine and feeling of disgust. 😖,Autonomy,Dissatisfied,Not Clear,Leisure
678670330953637888,I hate the fact that I waited two hours in a waiting room just to get told to take some Advil....SERIOUSLY!! #ticked #frustrated,Autonomy,Dissatisfied,Not Clear,Health
679195967032307713,1st lines of a new chapter of my life!! #Excited #Proud #DreamBig,Autonomy,Satisfied,Not Clear,life evaluation
683664962309472256,When you check your future salary and you're like wth am I studying for?? 😫 #exams #depressed #motivationisgone,Autonomy,Dissatisfied,Non-Supportive,Education
683813510564974592,"After three weeks on vacation, I return to work tomorrow. #depressed",Autonomy,Dissatisfied,Not Clear,Leisure
648237509235765249,Can i just get thr key so i can see this place already. #Anxious,Autonomy,Satisfied,Not Clear,Family
679706622931955712,Can't wait to watch the Take That documentary that I missed last night #excited,Autonomy,Satisfied,Not Clear,Leisure
650523279954849792,"I wanna do something that is very rewarding ""&"" bizarre. Something extraordinary, I cant contain this feeling #Joyful",Autonomy,Satisfied,Not Clear,Other
684465503100887040,Holiday booked for sept #excited 🙌🏻,Autonomy,Satisfied,Not Clear,Leisure
678087207840706560,4 days til Christmas Break and flight to Cebu 🙌🙌🙌🙌 #excited,Autonomy,Satisfied,Not Clear,Leisure
683514215877996548,7 weeks or less!! #Excited #LilMaOnTheWay,Autonomy,Satisfied,Not Clear,Leisure
682249344976818176,"First day back....After a ""long hard"" day at work. No more work 4 de rest of the year lol see you in #2016 #Excited",Autonomy,Satisfied,Not Clear,Work
684578453127970816,Met with our wedding planner tonight! 💍💒💐 #excited,Autonomy,Satisfied,Not Clear,Family
678261314557448192,"10 years after getting the xbox 360 amd playing the shit out it,I'm finally getting an xbox one. #Excited #Microsoft #TeenageYearsSpentWell",Autonomy,Satisfied,Not Clear,Leisure
648947904066011136,Wrapping your cold hands around the cup of a warm drink. #Love #SimpleThings,Autonomy,Satisfied,Not Clear,Leisure
680356926979469312,The hardest thing I ever tried was being normal....!!! #hope,Autonomy,Dissatisfied,Not Clear,life evaluation
682243585606062080,Got no room for a bearded dragon but I may be getting a gecko! #excited,Autonomy,Satisfied,Not Clear,Leisure
684762997743419392,"Rain, fresh coffee, kids ready for school?! The world is my oyster! #winning",Autonomy,Satisfied,Not Clear,life evaluation
682206278593024000,Year end shopping can be great fun..feeling #blissful,Autonomy,Satisfied,Not Clear,Leisure
681427915423129601,Just got a jump scare from a cheeky decieving little video on Youtube. Why me? And I had all my lights turned off too! #scared #naivety,Autonomy,Dissatisfied,Not Clear,Other
646758367889911808,"Took lunch at desk, so far got interrupted 3 times!!!! #annoyed",Autonomy,Dissatisfied,Not Clear,Work
682017824731103232,A poetry lounge is exactly what I need tonight. 💖 #Excited,Autonomy,Satisfied,Not Clear,Leisure
678878259023622144,Can't wait for Wednesday to be here. Lol. I love weddings. #Excited,Autonomy,Satisfied,Supportive,Leisure
682727131479158784,Delayed 3+ hrs bc airline inefficiency. 2nd time in 2 weeks on same airline. Never fly Jetblue! #Jetblue #Terrible,Autonomy,Dissatisfied,Non-Supportive,Other
